Thu Mar 15 11:04:20 2018
             JOBID PARTITION     NAME     USER    STATE       TIME TIME_LIMI  NODES NODELIST(REASON)
            493464    pbatch qe_newre  varley2  PENDING       0:00   6:00:00      3 (Priority)
            494776    pbatch  vasp_02  varley2  PENDING       0:00   3:00:00      8 (Priority)
            494777    pbatch  vasp_03  varley2  PENDING       0:00   3:00:00      8 (Priority)
            494778    pbatch  vasp_04  varley2  PENDING       0:00   3:00:00      8 (Priority)
            494779    pbatch  vasp_05  varley2  PENDING       0:00   3:00:00      8 (Priority)
            494775    pbatch  vasp_01  varley2  PENDING       0:00   3:00:00      8 (Priority)
            494784    pbatch vasp_MIG  varley2  PENDING       0:00   5:00:00      8 (Priority)
            472213    pbatch hi_pr3_s   petra1  PENDING       0:00  23:55:00    256 (Priority)
            487438    pbatch 3D_Hyp3_ voronin1  PENDING       0:00  12:00:00      4 (Priority)
            487439    pbatch 3D_Hyp3_ voronin1  PENDING       0:00  12:00:00      4 (Priority)
            425015    pbatch       sh    reza2  PENDING       0:00 1-00:00:00   1024 (Priority)
            436112    pbatch       sh    reza2  PENDING       0:00 1-00:00:00     64 (Priority)
            481136    pbatch ingest_e iwabuchi  PENDING       0:00  12:00:00    512 (Priority)
            489887    pbatch       sh    reza2  PENDING       0:00 1-00:00:00    256 (Priority)
            489904    pbatch       sh    reza2  PENDING       0:00 1-00:00:00    128 (Priority)
            490028    pbatch run_patt    reza2  PENDING       0:00   3:00:00   1024 (Priority)
            490038    pbatch run_patt    reza2  PENDING       0:00   3:00:00   1024 (Priority)
            456618    pbatch   2x_1sk mmcmahon  PENDING       0:00 1-00:00:00     30 (Priority)
            456854    pbatch      njk mmcmahon  PENDING       0:00 1-00:00:00     30 (Priority)
            456614    pbatch   2x_2sk mmcmahon  PENDING       0:00 1-00:00:00     30 (Priority)
            456616    pbatch     2x_k mmcmahon  PENDING       0:00 1-00:00:00     30 (Priority)
            461528    pbatch 1.0Insul   angus1  PENDING       0:00 1-00:00:00     40 (Priority)
            469606    pbatch  base_1k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469607    pbatch    1x_1k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469608    pbatch    1x_2k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469609    pbatch    1x_3k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469610    pbatch    1x_4k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469612    pbatch    1x_5k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469651    pbatch    4x_3k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469782    pbatch     mitl mmcmahon  PENDING       0:00 1-00:00:00      8 (Priority)
            469649    pbatch    4x_2k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469646    pbatch    4x_1k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469653    pbatch    4x_4k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469655    pbatch    4x_5k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            469657    pbatch    4x_6k mmcmahon  PENDING       0:00 1-00:00:00      4 (Priority)
            468283    pbatch 2TD4096n   angus1  PENDING       0:00 1-00:00:00     40 (Priority)
            468284    pbatch 2T4096n6   angus1  PENDING       0:00 1-00:00:00     40 (Priority)
            487653    pbatch mj197d-K dphiggin  PENDING       0:00 1-00:00:00     41 (Priority)
            472827    pbatch    DPFMJ    link6  PENDING       0:00 1-00:00:00     16 (Priority)
            472829    pbatch    DPFMJ    link6  PENDING       0:00 1-00:00:00     16 (Priority)
            467186    pbatch 2x_1_fhd mmcmahon  PENDING       0:00  16:00:00     30 (Priority)
            471978    pbatch   njf_hd mmcmahon  PENDING       0:00  16:00:00     30 (Priority)
            467189    pbatch  2_2_fhd mmcmahon  PENDING       0:00  16:00:00     30 (Priority)
            472828    pbatch    DPFMJ    link6  PENDING       0:00 1-00:00:00     16 (Dependency)
            472830    pbatch    DPFMJ    link6  PENDING       0:00 1-00:00:00     16 (Dependency)
            494803    pbatch  ss_dave mmcmahon  PENDING       0:00 1-00:00:00      2 (Priority)
            384339    pbatch MD_Raman   maiti2  PENDING       0:00 16-16:00:00      1 (PartitionTimeLimit)
            459281    pbatch Zr-15.2-    lyang  PENDING       0:00 1-00:00:00      8 (Priority)
            459282    pbatch Zr-15.6-    lyang  PENDING       0:00 1-00:00:00      8 (Priority)
            461184    pbatch Zr-16.2-    lyang  PENDING       0:00 1-00:00:00      8 (Priority)
            461185    pbatch Zr-15.8-    lyang  PENDING       0:00 1-00:00:00      8 (Priority)
            461257    pbatch   16.61K    lyang  PENDING       0:00 1-00:00:00      8 (Priority)
            461258    pbatch   16.41K    lyang  PENDING       0:00 1-00:00:00      8 (Priority)
            461259    pbatch Zr-15.4-    lyang  PENDING       0:00 1-00:00:00      8 (Priority)
            472658    pbatch GenFus3D  solberg  PENDING       0:00  12:00:00     28 (Priority)
            472659    pbatch GenFus3D  solberg  PENDING       0:00  12:00:00     28 (Dependency)
            472660    pbatch GenFus3D  solberg  PENDING       0:00  12:00:00     28 (Dependency)
            486073    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            486074    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            486075    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            486076    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            486077    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            486078    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            486079    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            486080    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            486081    pbatch   Bettis  vignes2  PENDING       0:00   4:00:00      8 (Dependency)
            456009    pbatch aster_87 igumensh  PENDING       0:00 1-00:00:00     72 (Priority)
            484589    pbatch    CH_b1  khater1  PENDING       0:00 1-00:00:00    200 (Priority)
            484590    pbatch    CH_b2  khater1  PENDING       0:00 1-00:00:00    200 (Priority)
            456010    pbatch aster_87 igumensh  PENDING       0:00 1-00:00:00     72 (Dependency)
            467098    pbatch aster_87 igumensh  PENDING       0:00 1-00:00:00     72 (Dependency)
            466965    pbatch run_Mach  schiavo  PENDING       0:00 1-00:00:00      8 (Priority)
            466966    pbatch run_Mach  schiavo  PENDING       0:00 1-00:00:00      8 (Priority)
            467901    pbatch DD_C_001   aubry5  PENDING       0:00 1-00:00:00      2 (Priority)
            468033    pbatch DD_C_001   aubry5  PENDING       0:00 1-00:00:00      1 (Priority)
            468034    pbatch DD_C_001   aubry5  PENDING       0:00 1-00:00:00      1 (Priority)
            472223    pbatch   125K-2 rlindsey  PENDING       0:00 1-00:00:00     80 (Priority)
            493958    pbatch       55      per  PENDING       0:00   5:00:00     64 (Priority)
            472090    pbatch run-trac smith504  PENDING       0:00 1-00:00:00      1 (Priority)
            461572    pbatch run0.job samanta1  PENDING       0:00 1-00:00:00      1 (Priority)
            461489    pbatch h2o-fcc-   hamel2  PENDING       0:00  16:00:00      8 (Priority)
            458880    pbatch   125K-4 rlindsey  PENDING       0:00 1-00:00:00     80 (Priority)
            472039    pbatch h2o-fcc-   hamel2  PENDING       0:00  16:00:00      8 (Priority)
            472226    pbatch   125K-3 rlindsey  PENDING       0:00 1-00:00:00     80 (Priority)
            487730    pbatch   LAMMPS   belof1  PENDING       0:00  12:57:00    256 (Priority)
            487492    pbatch batch_qu vorobiev  PENDING       0:00   6:00:00     15 (Priority)
            470206    pbatch quarter_ crocker7  PENDING       0:00  16:00:00     28 (Priority)
            456043    pbatch Chem_11s crocker7  PENDING       0:00  16:00:00     30 (Priority)
            470207    pbatch quarter_ crocker7  PENDING       0:00  16:00:00     28 (Dependency)
            470208    pbatch quarter_ crocker7  PENDING       0:00  16:00:00     28 (Dependency)
            470209    pbatch quarter_ crocker7  PENDING       0:00  16:00:00     28 (Dependency)
            470210    pbatch quarter_ crocker7  PENDING       0:00  16:00:00     28 (Dependency)
            470211    pbatch quarter_ crocker7  PENDING       0:00  16:00:00     28 (Dependency)
            470212    pbatch quarter_ crocker7  PENDING       0:00  16:00:00     28 (Dependency)
            494174    pbatch    1.job  mcgraw6  PENDING       0:00 1-00:00:00     45 (Priority)
            493925    pbatch scale_25    saha4  PENDING       0:00 1-00:00:00      8 (Priority)
            493939    pbatch axins-qu   wang83  PENDING       0:00   5:00:00     25 (Priority)
            493982    pbatch ActTest7  mackay2  PENDING       0:00  23:50:00     18 (Priority)
            494520    pbatch t2_p0057  kevinpg  PENDING       0:00  10:00:00      2 (Priority)
            493862    pbatch      dns   perryj  PENDING       0:00 1-00:00:00     32 (Priority)
            493988    pbatch LESo4_DF bassenne  PENDING       0:00 1-00:00:00      8 (Priority)
            494023    pbatch LESo4_SD bassenne  PENDING       0:00 1-00:00:00      8 (Priority)
            494090    pbatch LESo4_SD bassenne  PENDING       0:00 1-00:00:00      8 (Priority)
            494099    pbatch LESo4_SD bassenne  PENDING       0:00 1-00:00:00     12 (Priority)
            494100    pbatch LESo4_SD bassenne  PENDING       0:00 1-00:00:00     16 (Priority)
            494167    pbatch LESo2_SD bassenne  PENDING       0:00 1-00:00:00      8 (Priority)
            494169    pbatch LESo2_SD bassenne  PENDING       0:00 1-00:00:00     12 (Priority)
            494170    pbatch LESo2_SD bassenne  PENDING       0:00 1-00:00:00     16 (Priority)
            476135    pbatch ste1Ndat   chan52  PENDING       0:00 1-00:00:00      7 (Dependency)
            476136    pbatch ste1Ndat   chan52  PENDING       0:00 1-00:00:00      7 (Dependency)
            494523    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494524    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494525    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494526    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494527    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494528    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494529    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494530    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494531    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494532    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494533    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494534    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494535    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494536    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494537    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494538    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494539    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494540    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494541    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494542    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494543    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494544    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494545    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494546    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494547    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494548    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494549    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494550    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494551    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494552    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494553    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            494554    pbatch slurm.ru    jofre  PENDING       0:00  23:00:00     50 (Priority)
            471484    pbatch    batch   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            471485    pbatch    batch   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            471486    pbatch    batch   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            471492    pbatch    batch   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            471545    pbatch    batch   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            476309    pbatch    batch   spinti  PENDING       0:00 1-00:00:00      6 (Priority)
            476188    pbatch    batch   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            476243    pbatch    batch   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            478171    pbatch BaseCase    jmilo  PENDING       0:00 1-00:00:00     82 (Priority)
            478353    pbatch batch_st   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            480321    pbatch MostCase    jmilo  PENDING       0:00 1-00:00:00    328 (Priority)
            480322    pbatch MostCase    jmilo  PENDING       0:00 1-00:00:00    246 (Priority)
            480324    pbatch MostCase    jmilo  PENDING       0:00 1-00:00:00    246 (Priority)
            478454    pbatch    batch   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            478579    pbatch batch_st   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            478607    pbatch batch_st   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
            478795    pbatch batch_st   isaac4  PENDING       0:00 1-00:00:00    171 (Priority)
